"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";0;0;0;0;0;0
"C1F18";0;0;0;0;0;0
"C1A18";0;0;0;0;0;0
"C2A17";0;0;0;0;0;0
"C2F18";0;0;0;0;0;0
"C2A18";0;0;0;0;0;0
"C3A17";0;0;0;0;0;0
"C3F18";0;0;0;0;0;0
"C3A18";0;0;0;0;0;0
"C4A17";0;0;0;0;0;0
"C4F18";0;0;0;0;0;0
"C4A18";0;0;0;0;0;0
"F1A17";0;0;0;0;0;0
"F1F18";0;0;0;0;0;0
"F1A18";0;0;0;0;0;0
"F2A17";0;0;0;0;0;0
"F2F18";0;0;0;0;0;0
"F2A18";0;0;0;0;0;0
"F3A17";0;0;0;0;0;0
"F3F18";0;0;0;0;0;0
"F3A18";0;0;0;0;0;0
"F4A17";0;0;0;0;0;0
"F4F18";0;0;0;0;0;0
"F4A18";0;0;0;0;0;0
"H1A17";0;0;0;0;0;0
"H1F18";0;0;0;0;0;0
"H1A18";0;0;0;0;0;0
"H2A17";0;0;0;0;0;0
"H2F18";0;0;0;0;0;0
"H2A18";0;0;0;0;0;0
"H3A17";0;0;0;0;0;0
"H3F18";0;0;0;0;0;0
"H3A18";0;0;0;0;0;0
"H4A17";0;0;0;0;0;0
"H4F18";0;0;0;0;0;0
"H4A18";0;0;0;0;0;0
"P1F18";0;0;0;0;0;0
"P1A18";0;0;0;0;0;0
"P2F18";0;0;0;0;0;0
"P3F18";0;0;0;0;0;0
"P4F18";0;0;0;0;0;0
"L1A17";17;82;0;11;0;175
"L1F18";84;122;0;0;0;2500
"L1A18";1031;342;312;0;30;0
"L2A17";150;432;0;0;62;99
"L2F18";112;209;0;0;0;958
"L2A18";315;431;0;127;0;0
"L3A17";55;14;0;0;98;48
"L3F18";0;57;0;0;0;2154
"L3A18";665;1207;45;26;0;0
"L4A17";64;6;0;0;0;229
"L4F18";62;172;0;0;0;1075
"L4A18";61;181;0;15;12;4
"Q1A17";0;0;0;0;0;0
"Q1F18";0;0;0;0;0;0
"Q2A17";0;0;0;0;0;0
"Q2F18";0;0;0;0;0;0
"Q3A17";0;0;0;0;0;0
"Q3F18";0;0;0;0;0;0
"Q3A18";0;0;0;0;0;0
"Q4A17";0;0;0;0;0;0
"Q4F18";0;0;0;0;0;0
"Q4A18";0;0;0;0;0;0
