"";"ASV0573";"ASV0634";"ASV2069";"ASV2167";"ASV2322";"ASV2323";"ASV2514";"ASV2604";"ASV2844";"ASV2887";"ASV2946";"ASV3027";"ASV3183";"ASV3320";"ASV3580";"ASV3722";"ASV3772";"ASV3822";"ASV4007";"ASV4076";"ASV4204";"ASV4273";"ASV4548";"ASV4565";"ASV4732";"ASV4846";"ASV4848";"ASV4852";"ASV4856";"ASV4858";"ASV4970";"ASV4973";"ASV5221";"ASV5230";"ASV5233";"ASV5234";"ASV5236";"ASV5242";"ASV5370";"ASV5513";"ASV5517";"ASV5520";"ASV5529";"ASV5530";"ASV5532";"ASV5534";"ASV5684";"ASV5692";"ASV5701";"ASV5706";"ASV5845";"ASV5846";"ASV5850";"ASV5859";"ASV5868";"ASV6068";"ASV6072";"ASV6078";"ASV6081";"ASV6084";"ASV6085";"ASV6086";"ASV6087"
"H1A17";0;0;0;0;23;14;0;0;0;0;0;52;47;0;0;0;0;32;0;0;0;14;22;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;15;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1F18";0;0;0;0;0;0;0;0;0;0;25;0;0;14;0;0;0;0;11;25;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1A18";158;175;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2A17";0;0;0;0;11;13;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;3;0;0;0;0;0;0;13;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0
"H2A18";0;154;0;0;0;0;0;70;17;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0
"H3A17";0;0;0;0;19;14;0;0;26;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3F18";381;291;0;0;12;14;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;18;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;13;0;0;0;0;0;0;11;0;0;0;0;0;0;0
"H3A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;22;0;0;0;0;0;0;1;0;0;0;0;0;0;16;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;12;0;0;11;0;0;0;0;0;0
"H4A17";0;0;0;95;20;18;49;0;16;57;0;0;0;0;0;19;0;0;0;0;0;11;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;13;0;0;0;0;12;0;0;11;11;0;0;0;0
"H4F18";168;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;18;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0
"H4A18";0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11
