"";"OSD143";"OSD037";"OSD039";"OSD060";"OSD054";"OSD055";"OSD152";"OSD159";"OSD002";"OSD141";"OSD003";"OSD072";"OSD030";"OSD014";"OSD022";"OSD099";"OSD049";"OSD076";"OSD077";"OSD123";"OSD132";"Total";"Color"
"Metazoa";952;9156;424;5731;1975;891;9590;3168;4395;22517;6881;551;24610;3683;4639;31490;3676;6491;1178;744;3083;145825;"#440154"
"Dinoflagellata";3818;2438;350;6012;5504;4576;10604;6014;14125;7605;8424;5840;5717;11078;24460;7826;13813;2457;1196;704;1844;144405;"#46095D"
"Ochrophyta";24510;20635;3164;14644;14712;13158;1516;3776;5455;247;13659;5841;2031;1465;4956;1587;2384;1610;1473;436;1872;139131;"#471164"
"Chlorophyta";3867;2926;6478;2942;2075;1744;288;315;2751;18;1306;382;2148;5879;587;544;597;128;50;118;1311;36454;"#63CB5F"
"Ciliophora";1150;79;65;526;529;1017;2878;298;2642;10;731;1188;611;743;2168;169;836;432;964;343;1224;18603;"#482778"
"Cryptophyta";786;182;209;170;1003;2214;176;247;1203;0;572;328;180;1777;495;212;638;804;226;63;116;11601;"#34618D"
"Pseudofungi";446;94;21;1091;1799;730;71;62;285;85;457;132;636;130;585;156;315;901;299;181;72;8548;"#414287"
"Picozoa";211;363;19;25;1038;606;168;16;180;5;108;272;1882;266;988;139;734;296;62;29;45;7452;"#443C84"
"Haptophyta";28;44;0;12;465;262;24;60;1325;12;441;396;319;622;1144;164;858;216;75;11;38;6516;"#3F4889"
"Opalozoa";64;157;37;62;674;120;18;121;253;41;200;27;0;401;1806;146;785;564;384;82;288;6230;"#38B977"
"Telonemia";0;9;0;0;198;260;0;18;1013;0;0;2557;327;250;428;71;345;130;72;20;25;5723;"#1FA088"
"Sagenista";104;562;10;182;434;514;135;53;318;11;284;61;46;378;560;109;484;848;49;58;220;5420;"#24AA83"
"Cercozoa";29;16;38;48;374;691;71;88;173;41;73;300;257;53;178;16;194;429;70;64;67;3270;"#453581"
"Katablepharidophyta";197;0;17;13;253;143;6;17;61;0;179;461;140;180;269;69;163;252;264;0;0;2684;"#21908C"
"Perkinsea";0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;2270;161;2458;"#2F6C8E"
"Choanoflagellida";0;0;0;372;139;175;72;16;134;0;41;0;154;34;230;18;414;38;0;0;4;1841;"#21A585"
"Fungi";25;149;197;36;52;0;736;0;14;78;0;48;106;0;27;14;50;5;0;64;2;1603;"#472E7C"
"Stramenopiles_X";0;34;0;411;0;0;0;0;371;0;0;0;0;25;76;0;48;118;32;0;0;1115;"#FDE725"
"Centroheliozoa";0;23;0;22;28;4;7;0;0;0;0;0;84;41;274;38;148;105;57;17;7;855;"#6FCF57"
"Apicomplexa";0;12;0;39;28;2;0;8;13;0;10;0;0;0;0;0;0;0;0;141;214;467;"#29AF7F"
"Radiolaria";0;5;0;42;0;0;0;0;0;0;0;0;0;213;79;0;37;0;0;0;24;400;"#26818E"
"Opisthokonta_X";0;0;0;0;0;0;48;0;39;0;43;0;0;0;270;0;0;0;0;0;0;400;"#39558C"
"Rhodophyta";11;31;0;16;0;0;0;97;0;0;67;12;0;66;0;0;0;0;0;14;64;378;"#99D83E"
"Prasinodermophyta";0;0;0;22;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;52;"#B6DE2A"
"Apusomonadidae";0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;44;"#A7DB35"
"Streptophyta";13;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;27;"#E2E418"
"Mesomycetozoa";0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;"#482071"
