"";"OSD159";"OSD002";"OSD141";"OSD003";"OSD072";"OSD030";"Total";"Color"
"Metazoa";3158;4385;22503;6871;551;24607;62075;"#FDFBE3"
"Dinoflagellata";5993;14055;7593;8401;5835;5707;47584;"#FDFBE3"
"Ochrophyta";3768;5438;219;13637;5832;2032;30926;"#60F649"
"Chlorophyta";308;2741;18;1300;382;2148;6897;"#24F205"
"Choanoflagellida";298;2632;10;726;1185;600;5451;"#FDFBE3"
"Telonemia";17;1025;0;0;2552;327;3921;"#FDFBE3"
"Cercozoa";58;1316;12;440;396;318;2540;"#FDFBE3"
"Picozoa";16;178;5;108;272;1881;2460;"#FDFBE3"
"NA.";62;264;85;457;132;631;1631;"#000000"
"Cryptophyta";85;585;0;273;264;81;1288;"#88F877"
"Apicomplexa";81;168;41;73;300;256;919;"#FDFBE3"
"NA..6";53;305;11;277;61;46;753;"#FDFBE3"
"Haptophyta";119;329;0;230;0;73;751;"#AFFAA4"
"Sagenista";17;0;0;171;429;0;617;"#FDFBE3"
"NA..7";115;226;41;185;27;0;594;"#FDFBE3"
"Fungi";0;371;0;0;0;0;371;"#FDFBE3"
"NA..10";97;0;0;67;12;0;176;"#FDFBE3"
"Perkinsea";10;63;0;0;0;96;169;"#FDFBE3"
"NA..8";0;79;0;39;20;22;160;"#FDFBE3"
"Ciliophora";16;108;0;30;0;0;154;"#FDFBE3"
"Opalozoa";0;0;0;0;0;123;123;"#FDFBE3"
"NA..9";0;0;0;0;0;84;84;"#FDFBE3"
"NA..11";0;39;0;43;0;0;82;"#FDFBE3"
"NA..12";0;0;0;0;0;81;81;"#FDFBE3"
"NA..13";0;0;78;0;0;0;78;"#FDFBE3"
"Katablepharidophyta";27;45;0;0;0;0;72;"#C8FBC1"
"Stramenopiles_X";0;57;0;0;0;0;57;"#FDFBE3"
"NA..1";0;28;0;20;0;0;48;"#FDFBE3"
"Pseudofungi";0;0;0;0;44;0;44;"#FDFBE3"
"NA..2";0;42;0;0;0;0;42;"#FDFBE3"
"Cryptophyta.nucl";0;0;0;8;32;0;40;"#88F877"
"Centroheliozoa";0;39;0;0;0;0;39;"#FDFBE3"
"NA..3";0;0;0;0;0;38;38;"#FDFBE3"
"NA..19";8;13;0;10;0;0;31;"#FDFBE3"
"NA..20";0;0;0;0;0;27;27;"#FDFBE3"
"NA..14";0;0;0;0;25;0;25;"#FDFBE3"
"NA..15";0;0;0;0;0;25;25;"#FDFBE3"
"NA..16";0;0;0;0;23;0;23;"#FDFBE3"
"Rhodophyta";0;22;0;0;0;0;22;"#E0FDDC"
"NA..4";0;0;0;21;0;0;21;"#FDFBE3"
"NA..5";0;0;0;0;0;20;20;"#FDFBE3"
"Opisthokonta_X";0;0;0;0;0;17;17;"#FDFBE3"
"NA..17";0;14;0;0;0;0;14;"#FDFBE3"
"NA..18";0;0;0;0;0;0;0;"#FDFBE3"
