"";"OSD143";"OSD037";"OSD039";"OSD060";"OSD054";"OSD055";"OSD152";"Total";"Color"
"Ochrophyta";24511;20623;3164;14717;14706;13096;1517;92334;"#60F649"
"Dinoflagellata";3818;2416;347;6125;5482;4510;10582;33280;"#FDFBE3"
"Metazoa";952;9146;424;5731;1971;885;9588;28697;"#FDFBE3"
"Chlorophyta";3867;2934;6478;2942;2074;1700;288;20283;"#24F205"
"Ciliophora";1150;79;65;515;529;1011;2869;6218;"#FDFBE3"
"Cryptophyta";681;170;203;143;967;2143;168;4475;"#88F877"
"Pseudofungi";446;94;21;1091;1799;730;71;4252;"#FDFBE3"
"Picozoa";211;363;19;25;1038;606;168;2430;"#FDFBE3"
"Sagenista";104;549;10;182;431;514;135;1925;"#FDFBE3"
"Cercozoa";29;16;38;48;374;691;71;1267;"#FDFBE3"
"Fungi";25;149;197;36;52;0;736;1195;"#FDFBE3"
"Opalozoa";64;157;44;62;674;120;18;1139;"#FDFBE3"
"Haptophyta";28;44;0;31;434;250;24;811;"#AFFAA4"
"Choanoflagellida";0;0;0;372;139;171;72;754;"#FDFBE3"
"Katablepharidophyta";197;0;17;13;253;143;6;629;"#C8FBC1"
"Stramenopiles_X";0;34;0;411;0;0;0;445;"#FDFBE3"
"Telonemia";0;0;0;0;198;244;0;442;"#FDFBE3"
"Streptophyta";0;12;0;76;28;2;0;118;"#FDFBE3"
"NA..1";0;23;0;22;28;4;7;84;"#FDFBE3"
"Cryptophyta.nucl";26;0;6;19;0;0;0;51;"#88F877"
"NA..5";11;23;0;16;0;0;0;50;"#FDFBE3"
"Mesomycetozoa";0;0;0;0;0;0;48;48;"#FDFBE3"
"Rhodophyta";0;5;0;42;0;0;0;47;"#E0FDDC"
"NA..3";0;0;0;22;19;0;0;41;"#FDFBE3"
"Opisthokonta_X";33;0;0;0;0;5;0;38;"#FDFBE3"
"NA..2";0;0;0;28;0;0;0;28;"#FDFBE3"
"Radiolaria";0;0;0;0;13;14;0;27;"#FBFDE3"
"Apicomplexa";19;0;0;0;0;0;0;19;"#000000"
"Centroheliozoa";18;0;0;0;0;0;0;18;"#FDFBE3"
"NA..4";0;0;0;0;0;0;17;17;"#FDFBE3"
"Apusomonadidae";0;0;0;0;7;8;0;15;"#FDFBE3"
"NA..6";13;0;0;0;0;0;0;13;"#FDFBE3"
"Prasinodermophyta";0;12;0;0;0;0;0;12;"#FDFBE3"
"NA.";0;0;0;0;0;0;0;0;"#000000"
