OSD_V9;TARA_V9;OSD_V4;HCS;COLOR
Acidobacteria;Acidobacteria;;;#CAE11F
;Alveolata_X;;Alveolata_X;#FDE725
Ancoracystida;;;;
Apicomplexa;Apicomplexa;Apicomplexa;Apicomplexa;#287D8E
Apusomonadidae;Apusomonadidae;Apusomonadidae;Apusomonadidae;#84D44B
Centroheliozoa;Centroheliozoa;Centroheliozoa;Centroheliozoa;#29AF7F
Cercozoa;Cercozoa;Cercozoa;Cercozoa;#2D718E
Chlorophyta;Chlorophyta;Chlorophyta;Chlorophyta;#56C667
Choanoflagellida;Choanoflagellida;Choanoflagellida;Choanoflagellida;#238A8D
Chrompodellids;Chrompodellids;;Chrompodellids;#A6DB35
Ciliophora;Ciliophora;Ciliophora;Ciliophora;#39558C
Conosa;Conosa;;Conosa;#94D840
Cryptophyta;Cryptophyta;Cryptophyta;Cryptophyta;#32648E
Dadabacteria;;;;
Dependentiae;;;;
Dinoflagellata;Dinoflagellata;Dinoflagellata;Dinoflagellata;#460B5E
Discoba;Discoba;;;#423F85
Epsilonbacteraeota;Epsilonbacteraeota;;;#EDE51B
Foraminifera;Foraminifera;;Foraminifera;#1E9D89
Fungi;Fungi;Fungi;Fungi;#21908C
Gemmatimonadetes;;;;
Haptophyta;Haptophyta;Haptophyta;Haptophyta;#453781
Hilomonadea;Hilomonadea;;Hilomonadea;#365D8D
Katablepharidophyta;Katablepharidophyta;Katablepharidophyta;Katablepharidophyta;#20A386
Kiritimatiellaeota;;;;
Lobosa;Lobosa;;Lobosa;#25838E
Mantamonadidea;;;;
Mesomycetozoa;Mesomycetozoa;Mesomycetozoa;Mesomycetozoa;#48C16E
;;;Metamonada;
Metazoa;Metazoa;Metazoa;Metazoa;#440154
Nitrospinae;Nitrospinae;;;#32B67A
Nitrospirae;;;;
Ochrophyta;Ochrophyta;Ochrophyta;Ochrophyta;#481D6F
Opalozoa;Opalozoa;Opalozoa;Opalozoa;#3D4E8A
Opisthokonta_X;Opisthokonta_X;Opisthokonta_X;Opisthokonta_X;#64CB5F
Perkinsea;;Perkinsea;Perkinsea;
Picozoa;Picozoa;Picozoa;Picozoa;#2A778E
Planctomycetes;Planctomycetes;;;#23A983
Prasinodermophyta;Prasinodermophyta;Prasinodermophyta;Prasinodermophyta;#DCE318
Proteobacteria;Proteobacteria;;;#482677
Pseudofungi;Pseudofungi;Pseudofungi;Pseudofungi;#3F4788
Radiolaria;Radiolaria;Radiolaria;Radiolaria;#481568
Rhodophyta;Rhodophyta;Rhodophyta;Rhodophyta;#B8DE29
Sagenista;Sagenista;Sagenista;Sagenista;#472F7D
;;Stramenopiles_X;Stramenopiles_X;
Streptophyta;Streptophyta;Streptophyta;Streptophyta;#74D055
Telonemia;Telonemia;Telonemia;Telonemia;#306A8E
Thaumarchaeota;Thaumarchaeota;;;#3CBC75
Unclassified;;;;
Verrucomicrobia;Verrucomicrobia;;;#1F968B
