"";"ASV_301";"ASV_573";"ASV_636";"ASV_915";"ASV_1196";"ASV_1470";"ASV_1478";"ASV_1576";"ASV_1582";"ASV_1722";"ASV_1775";"ASV_1802";"ASV_1872";"ASV_1892";"ASV_1952";"ASV_1958";"ASV_1998";"ASV_2013";"ASV_2027";"ASV_2071";"ASV_2074";"ASV_2084";"ASV_2114";"ASV_2132";"ASV_2165";"ASV_2180";"ASV_2270";"ASV_2271";"ASV_2302";"ASV_2318";"ASV_2319";"ASV_2320";"ASV_2342";"ASV_2357";"ASV_2358";"ASV_2467";"ASV_2472";"ASV_2490";"ASV_2508";"ASV_2598";"ASV_2599";"ASV_2659";"ASV_2821";"ASV_2845";"ASV_2863";"ASV_2889";"ASV_3022";"ASV_3029";"ASV_3083";"ASV_3124";"ASV_3311";"ASV_3422";"ASV_3575";"ASV_3577";"ASV_3670";"ASV_3714";"ASV_3716";"ASV_3763";"ASV_3811";"ASV_3881";"ASV_3934";"ASV_4001";"ASV_4074";"ASV_4188";"ASV_4196";"ASV_4199";"ASV_4269";"ASV_4277";"ASV_4284";"ASV_4367";"ASV_4372";"ASV_4373";"ASV_4376";"ASV_4460";"ASV_4461";"ASV_4469";"ASV_4470";"ASV_4542";"ASV_4551";"ASV_4558";"ASV_4560";"ASV_4725";"ASV_4735";"ASV_4838";"ASV_4840";"ASV_4844";"ASV_4846";"ASV_4848";"ASV_4850";"ASV_4967";"ASV_4970";"ASV_4974";"ASV_4975";"ASV_4976";"ASV_4977";"ASV_5086";"ASV_5096";"ASV_5098";"ASV_5220";"ASV_5224";"ASV_5231";"ASV_5232";"ASV_5235";"ASV_5241";"ASV_5243";"ASV_5372";"ASV_5373";"ASV_5379";"ASV_5390";"ASV_5393";"ASV_5394";"ASV_5516";"ASV_5523";"ASV_5533";"ASV_5535";"ASV_5539";"ASV_5540";"ASV_5541";"ASV_5542";"ASV_5683";"ASV_5685";"ASV_5688";"ASV_5696";"ASV_5697";"ASV_5703";"ASV_5704";"ASV_5708";"ASV_5713";"ASV_5839";"ASV_5850";"ASV_5851";"ASV_5855";"ASV_5864";"ASV_5869";"ASV_5870";"ASV_5872";"ASV_5873";"ASV_6070";"ASV_6075";"ASV_6079";"ASV_6081";"ASV_6083";"ASV_6086";"ASV_6087";"ASV_6088"
"H1A17";56;0;0;22;45;37;47;0;0;138;0;0;121;0;0;112;108;0;0;0;0;0;0;0;0;0;0;0;0;23;14;0;0;0;0;47;0;0;0;70;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;26;0;0;14;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;16;0;0;0;0;0;0;15;6;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;30;11;25;0;0;0;0;0;0;0;0;0;0;23;12;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H1A18";0;158;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;11;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2A17";0;0;0;354;66;45;52;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;8;0;0;7;0;0;0;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2F18";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2A18";0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;17;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;17;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3A17";265;0;0;0;72;50;44;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;14;0;0;0;0;0;0;0;39;0;0;32;0;26;0;0;0;0;50;0;30;41;0;0;0;0;34;0;0;0;0;0;0;0;7;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;19;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;4;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H3F18";0;381;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0
"H3A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;15;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;11;0;0;0;0;0;0
"H4A17";1232;0;0;0;66;45;33;160;159;0;85;128;0;119;113;0;0;107;106;0;79;101;91;97;95;87;88;88;86;20;18;85;84;83;83;29;76;49;35;0;0;35;60;16;0;57;0;52;0;49;0;0;0;37;35;19;0;0;0;31;0;0;0;0;19;0;11;0;25;0;18;19;24;0;0;23;23;0;0;0;22;0;20;0;0;0;14;0;19;0;0;18;18;18;18;0;0;0;0;0;0;0;0;0;16;0;0;0;0;15;15;0;0;0;0;0;14;14;14;0;5;0;0;0;0;0;13;0;0;0;0;0;0;12;12;12;12;0;0;11;11;11;0;0;0
"H4F18";0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
"H4A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11
